1 381,
59,Number of atoms
27,Number of C  atoms
0.4576,Relative number of C  atoms
27,Number of H  atoms
0.4576,Relative number of H  atoms
  0.0000e+00 ,Number of O  atoms
  0.0000e+00 ,Relative number of O  atoms
5,Number of N  atoms
0.0847,Relative number of N  atoms
  0.0000e+00 ,Number of S  atoms
  0.0000e+00 ,Relative number of S  atoms
  0.0000e+00 ,Number of F  atoms
  0.0000e+00 ,Relative number of F  atoms
  0.0000e+00 ,Number of Cl atoms
  0.0000e+00 ,Relative number of Cl atoms
  0.0000e+00 ,Number of Br atoms
  0.0000e+00 ,Relative number of Br atoms
  0.0000e+00 ,Number of I  atoms
  0.0000e+00 ,Relative number of I  atoms
  0.0000e+00 ,Number of P  atoms
  0.0000e+00 ,Relative number of P  atoms
63,Number of bonds
46,Number of single bonds
0.7302,Relative number of single bonds
4,Number of double bonds
0.0635,Relative number of double bonds
1,Number of triple bonds
0.0159,Relative number of triple bonds
12,Number of aromatic bonds
0.1905,Relative number of aromatic bonds
5,Number of rings
0.0847,Relative number of rings
2,Number of benzene rings
0.0339,Relative number of benzene rings
421.5453,Molecular weight
7.1448,Relative molecular weight
  2.9991e+03 ,Gravitation index (all bonds)
  6.9341e+03 ,Gravitation index (all pairs)
  2.8450e+03 ,Wiener index
22.0788,Randic index (order 0)
15.6354,Randic index (order 1)
13.9499,Randic index (order 2)
12.4058,Randic index (order 3)
18.5979,Kier&Hall index (order 0)
11.1179,Kier&Hall index (order 1)
8.5567,Kier&Hall index (order 2)
6.4241,Kier&Hall index (order 3)
20.5942,Kier shape index (order 1)
8.6789,Kier shape index (order 2)
3.9918,Kier shape index (order 3)
5.5855,Kier flexibility index
1.925,Average Information content (order 0)
113.577,Information content (order 0)
0.3272,Average Structural Information content (order 0)
19.3071,Structural Information content (order 0)
3.9576,Average Complementary Information content (order 0)
233.499,Complementary Information content (order 0)
0.3221,Average Bonding Information content (order 0)
19.0014,Bonding Information content (order 0)
3.6247,Average Information content (order 1)
213.8567,Information content (order 1)
0.6162,Average Structural Information content (order 1)
36.3538,Structural Information content (order 1)
2.258,Average Complementary Information content (order 1)
133.2193,Complementary Information content (order 1)
0.6064,Average Bonding Information content (order 1)
35.7783,Bonding Information content (order 1)
4.6028,Average Information content (order 2)
271.5662,Information content (order 2)
0.7824,Average Structural Information content (order 2)
46.164,Structural Information content (order 2)
1.2798,Average Complementary Information content (order 2)
75.5098,Complementary Information content (order 2)
0.7701,Average Bonding Information content (order 2)
45.4331,Bonding Information content (order 2)
1.5959,Balaban index
  7.2882e-03 ,Moment of inertia A
  2.3520e-03 ,Moment of inertia B
  1.8953e-03 ,Moment of inertia C
121.2624,XY Shadow
0.5198,XY Shadow / XY Rectangle
63.3611,YZ Shadow
0.6937,YZ Shadow / YZ Rectangle
90.6816,ZX Shadow
0.6904,ZX Shadow / ZX Rectangle
409.7159,Molecular volume
0.2449,Molecular volume / XYZ Box
429.7782,Molecular surface area
0.031,Max partial charge for a C  atom [Zefirov's PC]
-0.0292,Min partial charge for a C  atom [Zefirov's PC]
-0.06,Max partial charge for a N  atom [Zefirov's PC]
-0.1214,Min partial charge for a N  atom [Zefirov's PC]
0.0437,Max partial charge for a H  atom [Zefirov's PC]
0.0143,Min partial charge for a H  atom [Zefirov's PC]
0.0437,Max partial charge (Qmax)
-0.1214,Min partial charge (Qmin)
0.1651,Polarity parameter (Qmax-Qmin)
0.1634,Polarity parameter / square distance
4.2903,Topographic electronic index (all pairs) [Zefirov's PC]
1.6105,Topographic electronic index (all bonds) [Zefirov's PC]
761.48,TMSA Total molecular surface area [Zefirov's PC]
561.9743,PPSA-1 Partial positive surface area [Zefirov's PC]
199.5059,PNSA-1 Partial negative surface area [Zefirov's PC]
362.4684,DPSA-1 Difference in CPSAs (PPSA1-PNSA1) [Zefirov's PC]
0.738,FPSA-1 Fractional PPSA (PPSA-1/TMSA) [Zefirov's PC]
0.262,FNSA-1 Fractional PNSA (PNSA-1/TMSA) [Zefirov's PC]
427.9322,WPSA-1 Weighted PPSA (PPSA1*TMSA/1000) [Zefirov's PC]
151.9197,WNSA-1 Weighted PNSA (PNSA1*TMSA/1000) [Zefirov's PC]
408.2097,PPSA-2 Total charge weighted PPSA [Zefirov's PC]
-144.9181,PNSA-2 Total charge weighted PNSA [Zefirov's PC]
553.1277,DPSA-2 Difference in CPSAs (PPSA2-PNSA2) [Zefirov's PC]
0.5361,FPSA-2 Fractional PPSA (PPSA-2/TMSA) [Zefirov's PC]
-0.1903,FNSA-2 Fractional PNSA (PNSA-2/TMSA) [Zefirov's PC]
310.8435,WPSA-2 Weighted PPSA (PPSA2*TMSA/1000) [Zefirov's PC]
-110.3522,WNSA-2 Weighted PNSA (PNSA2*TMSA/1000) [Zefirov's PC]
12.8181,PPSA-3 Atomic charge weighted PPSA [Zefirov's PC]
-8.2823,PNSA-3 Atomic charge weighted PNSA [Zefirov's PC]
21.1004,DPSA-3 Difference in CPSAs (PPSA3-PNSA3) [Zefirov's PC]
0.0168,FPSA-3 Fractional PPSA (PPSA-3/TMSA) [Zefirov's PC]
-0.0109,FNSA-3 Fractional PNSA (PNSA-3/TMSA) [Zefirov's PC]
9.7607,WPSA-3 Weighted PPSA (PPSA3*TMSA/1000) [Zefirov's PC]
-6.3068,WNSA-3 Weighted PNSA (PNSA3*TMSA/1000) [Zefirov's PC]
0.0602,RPCG Relative positive charge (QMPOS/QTPLUS) [Zefirov's PC]
1.2345,RPCS Relative positive charged SA (SAMPOS*RPCG) [Zefirov's PC]
0.1672,RNCG Relative negative charge (QMNEG/QTMINUS) [Zefirov's PC]
